,score,text
42,2,카메라 감독 촬영을 계속 들고 찍었나봄.계속 흔들려서.. 어디가 코믹인지 포인트를 모르겠음 																									
43,2,코믹으로  가던가 정통 정치로  가던가   아님  거대액션으로 가던가   셋다 잡으실라고?  매우매우 실망임 																									
44,10,
45,10,특히 이정재 포스 지렸다 																									
46,6,이야기 전개가 너무 지루함. 평점보고 봤는데 스토리가 너무 단조롭고 지루해서 억지로 봄. 이제훈 연기는 최고. 																									
47,6,아 진짜 루리웹인지 뭔지 진짜싫다..왜저러는거임? 																									
48,9,놀란인생에서 이거보다 좋은작품은 안나온다 																									
49,1,댓글중에 제글 보신다면 진짜 거짓말 안하고 1시간 연인끼리 다른거하세요 2만원 땅에 버린다고 생각하시면 됩니다 																									
50,1,짱깨묻은 괴수영화.. 코로나국언어 나올때마다 속이 울렁거림 																									
51,10,엄태구의 얼굴 목 귀 손까지 시뻘게진 걸 보고 '아... 저것은 연기가 아니구나....' ㅋㅋㅋㅋ거친연기보다 이런 연기도 참 잘하네요. 재미있게 잘 봤습니다. ^^ 																									
52,10,재미있고 재미있네 재미지게 재미있다 																									
53,10,
54,1,"솔직히 아수라장 꿀잼이긴 했는데, 시x빠씨x빠 욕만 짓거리는거 ㅈㄴ별로였다. 저급함 그냥, 별 1점도 아까움. 																									"
55,1,그지같아 무슨내용인지 																									
56,2,소리만 꽥꽥 지르고 서두가 너무 김;; 내가 니 아빠다!!! 할때 헐.완전 신파네 . 제일 슬픈 장면인데 제일 웃겨버림. 이민기 연기가 그나마 제일 정상이었음.... 																									
57,7,액션이 엄청 멋있었음 																									
58,10,
59,10,노트의 한 페이지를 찢어내도 그 뒷장의 글을쓴 흔적은 고스란히 남아있는다. 																									
60,10,크리스마스에 나홀로집에처럼 광복절에 항상 방영 해줘야할 최고의 영화 																									
61,9,한국 휴머니즘영화답게 좀 질질 끄는 경향이 있지만 나름 재밌었는데 마지막에 un....흠냠냠 																									
62,1,전범국가 피해자코스프레 																									
63,10,제 인생영화 입니다. .. 																									
64,10,
65,9,킬링타임용 웃음거리가 계속됨 																									
66,10,
67,6,부산행 속편 느낌보단 매드맥스 따라잡기 느낌이 강함 																									
68,10,
69,10,"할아버지 께서 긁으신데 불구하고 열심히 애들을 도와줬고 그런 상황같은 경험한 우리 동원이 삼촌 머릿속에 가족들이 생각났지만 꾹 참고 눈물 안 흘리고 연기를 잘하려고 노력한 모습이 너무 대견한것 같고 새벽부터 약 한달 동안 졸면서 찍은 우리 준희,윤희,정석이 삼촌, 민정이 이모 등등 잘 촬영한거 같아요!  감동적이였습니다ㅠ 사랑해요??? 																									"
70,10,
71,1,여자 꼬맹이 최악이다... 																									
72,2,정치영화네요.... 																									
73,10,벨라야 집으로 오느라 고생많았어ㅠㅠ요근래 본 영화 중 최고네요~온가족 함께 볼 수 있는 영화로 강추합니다. 																									
74,8,
75,10,"배우분들 연기, 연출, 스토리 모두 만족 이였는데 저는 무엇보다 영상미가 인상깊었어요 !! 																									"
76,2,절대 보지마세여 ㅠㅜ 돈 아까움 ㅜㅜ 평점 완전 ㅜㅜㅜ 사기 ㅠㅠㅠ 너무 감정선 자체가 다 유치함 ㅠㅠ 영화관에서 돈주곤 보지마세여 																									
77,1,하....올해는 영화도 다 망한듯 																									
78,10,이 영화를 이제야 봤다니... 시나리오 연출 연기 뭐 하나 빠질게 없다. 다소 불친절해보이는 전개가 오히려 애써 설명하려 하지 않아 더 좋았다. 손예진과 김주혁이 서로에게 내뱉는 마지막 대사가 뒤통수를 때린다. 앞으로 이경미 감독 작품은 꼭 봐야지. 																									
79,8,연기가 다 먹고 들어간다 																									
80,10,"나만 재밌었나 ,,?. 																									"
81,1,"개연성이 1도 없는 손에 꼽히는 인생 최악의영화유일한 장점으로는 이 영화의 허술한 설정에 어이없었던 점을 여자친구랑 한시간을 넘게 대화할 수 있었다는점..?너무 많아서 다 쓸수도 없어요좀비가 바글바글한 나라에 택시아줌마 포함 4명을 보내는 시작 자체가 코미디폐허가 된 나라가 도로는 어쩜 이렇게 깨끗하게 차들이 다 치워져있는지..특수부대원이 기본적인 경계, 도주 동선파악조차 안함초등학생이나 좋아할만한 애니메이션같은 자동차씬뭘 표현하고싶어서 그렇게 장시간 넣은지 모르겠는 술래잡기씬역시나 말도안되는 허술한 경계잃어버린 형이 어딨는지 바로 알고 찾아가는 강동원슬라이딩하면서 나타나서 상대방 잡는 말도 안되는 유치한 액션..특수부대원 출신이 총알이 빗발치는 상황에서 형이 총맞았다고 멘탈놓고 한참을 서있는데다가 총도 안맞음 ㅋㅋ자살하려는 이정현을 살리려면 한시가 급한데 억지감동씬 넣으려고 아이 붙잡고 느릿느릿~ 너희엄마는 내가 구해올게UN에서 파견된 군인들이 통제못하고 꼬마애한테 총뺏겨서 엄마 구해야한다고, 시간끌고 출발 못하는게 말이 됨?한국인들 알아들으라고 일부러 영어를 천천히 말해주는건지이 영화의 모든것이 코메디고 개연성이 단 한가지도 없음최~~악좋은게 없는데 좋았던 감상포인트가 어딨니 																									"
82,10,재밌어요ㅎㅎㅎ1점은 너무한듯... 																									
83,10,볼 만한 영화입니다 스토리가 진부하더고 하는데 나름 차별성이 있는데요!! 																									
84,1,자전거 도둑을 그럴싸하게포장함 																									
85,3,이거 그냥 트라이 ㅈ망해서 이작품이 날아오른거 같은 느낌인데..과연 하나씩 포기하는게 진정 어른이 되는걸까? 이건 이상도 아니야.. 그냥 이별을 받아들여라 강요하는거잖아? 내가 본 극장판중 이런 통수치는 극장판은 간만에 보네... 																									
86,10,작품 좋은데   오늘 보고 놀랬어요 																									
87,2,"엄복동 동상이  의정부녹양동공설운동장 주변에 있는데  그의 업적을보면 대단하신분인데., .영화가.. ㅜㅜ 																									"
88,10,나만 재밌었나..? 																									
89,10,루리웹 별점테러를 막기위해 올려드립니다 																									
90,2,ㅠㅠ 정말  미티것다... 																									
91,10,"감동적.., 그냥 삶인거 같은 연기가 둘다 너무 잘어울리고 아름다운 그림같아요. 																									"
92,10,실화를 바탕으로 해서 더 와닿았네요 재밌어요 																									
93,4,
94,10,응원해요 댓글들 진짜 현실적이네 좌표찍고 와서 별점 테러하고 																									
95,3,"할리우드를 흉내낸 정도의 졸작, 정우성은 역시. 고정된 대통령이미지는 아니지... 곽도원이 가장 낫다. 																									"
96,2,보는내내 답답했네요 살다살다 주임공이 답답해서 범인을 응원하긴 첨이었네요 ㅋㅋㅋ 																									
97,10,
98,1,일붸츙 이 쮠똬들은 루리웹 없음 어떻게 사냐 지들 쮜쥘한거 감추려고 루리웹만 걸고 넘어지지 하여간 진짜 ㅋㅋㅋ 그거랑 별개로 페미영화는 OOO 																									
99,10,불륜의 끝은 불행 아니었던가 																									
100,10,이게 8점이라고?영화 리얼 보다 재미 없었음진짜 역대급 개재미없음다들 나만당할 순  없다 마인드구만그렇다면 나도 10점 																									
101,10,한국사 공부하다가 보게 되었는데진짜 최고..  감동의 쓰나미 																									
102,10,"관음의 렌즈로 바라보는 생경한 것에 대한 호기심, 두려움. 이 음흉한 기운을 우아하고 신비한 무드로 바꾸는 그레이스켈리의 위엄. 																									"
103,9,재밌음 																									
104,7,연기맛집! 이정재는 항상 등장씬에서 존재감이 미친 거 같아요... 보는데 숨막힘 ㄷㄷ 박정민도 연기 완전 자연스러워서 깜짝 놀랐네요. 비슷한 시기 개봉작 중에선 젤 재밌게 봤습니다! 																									
105,7,연기는 진짜 다 짱이었는데 너무 기대해서 그런지   기대한거 치고는 허무했다? 																									
106,10,"2013년 개봉영화라는게 놀라웠다. 지금와서 역주행해야 할 영화이다. 요즘 세상에 실제로 막장이 얼마나 더 많은데 개봉당시 비난을 받았던가.. 시대를앞서나간 영화인거 같다. 심야에 티비로 나와서 우연히 봤는데 영상미라던지, 각각 캐릭터를 묘사하는 방식이라던지, 배우의 연기들이 너무나 긴장감있고 잘 표현한거 같다 																									"
107,10,그시절 감성을 아주 담담하게 그려낸다 이걸보면 중2병이 왜생기는지도 치료방법도 찾을수있을것같아 대단한 영화 																									
108,10,외면되어지는 노인 여성을 중심으로 섬세하게 만들어진 영화 																									
109,9,"진짜 비 올때마다 생각나는 영화. ost,연출,영상미는 너무 뛰어났어요 영화관에서 보지 않았으면 평생 후회했을 정도의 작화! 스토리 전개는 아쉬웠지만 신카이 마코토감독의 감성운 최고 																									"
110,8,"10년이 지난 오늘에서야 이 영화를 보게 됐다. 현재 시대상과 비교해도 아무런 괴리감이 없다는 것이 소름 돋고, 슬프다. 시간이 없어서인지 마음이 없어서인지는 모르겠지만, 수업 마지막 날까지 시 한편 쓰지 않는 사람들. 자기 주변의 것들을 돌아볼 마음의 여유가 없는 사람들, 그런 사람들로 가득 찬 사회. 																									"
111,1,이 영화 보고 있자면 없던 병이 생길 것 같아요. 																									
112,10,왜 이영화를 이제봤을까.. 																									
113,9,"가볍게 정말 기대없이 봤는데 끝날때까지 짠한 눈물과 잔잔한 미소가 놓아지지 않는 영화였습니다. 뭐라 표현할까... 엔딩 크레딧 끝까지 놓지지 않고 보게되는, 흥미 진진함이 있어서가 아니라 그 잔잔한 여운이 오래 가네요. 그 분들이 그랬던것처럼 기대하지않은 노래가 어느덧 일상에서 흥얼거리게되는 것..저도 영화 끝난다음에 흥얼거리게 됩니다. 아이들의 눈빛도 잊혀지지않고 그 아버지의 어색한 제스쳐가 피식^^ 하게 만듭니다. 																									"
114,10,할 짓 없으세요? ㅠㅠ 테러하지 마셈 																									
115,10,"공감 수가 가장 많은 일반인 평론중, ""세상에서 일어날 수 있는 모든 일을 한 인물에 뭉쳐 압축 시켜놓고"". 당신들은 어떤 한가로운 세상에서 살아왔는지. 부럽네요. 담담한 전개방식이어서 더 와닿았습니다. 																									"
116,8,강철비:재인이의 꿈 좋았습니다 한반도의 평화를 기대합니다 																									
117,8,그저 킬링으로도 아깝지만 봣다. 																									
118,8,"설정은 무리가 있지만, 우리나라 상태 보이냐. 대한민국이 핵심이 되어야 하는 모든 문제들에 대한민국은 들러리다. 1.미국대통령한테 의자 양보하는 대한민국2.도넛츠 쳐먹는 모습은 자국  경제적 이익만을 생각하는 미국 대통령3.핵무기와 바꾼 깡깡마른 북한. .. 전시작전권만 반환받아도, 우리나라를 무시못할건데...전시작전권을 다시 가져온다는 것이 무슨의미인지 모르는 사람들... 아직 대한민국 주권은 100%돌려봤지 못했다. 국제정치경제 공부하는 학생으로.... 너무 마리 아프게 봤다. .설정은 무리가 있지만,  북한 급변 상황은 충분히 일어날 수 있고, 그때 대한민국이 어떤 역할을 하냐에 따라서 한반도 운명이 걸린다. 																									"
119,10,저런 상황이면 나라도 억울 하지 																									
120,2,배우연기밖에 볼게없다 감동도 재미도 없음 																									
121,10,비록 관객수는 적지만 강동원님 필모 중에 가장 좋아하는 영화 중 하나입니다. 연기도 좋고 스토리도 좋습니다. 한번쯤 감사하길 추천합니다. 영화를 보고 산들의 너에게 닿기를 이라는 노래를 듣는 것을 추천합니다. 가사와 이 영화의 상황이 너무 잘 맞더라고요. 영화의 여운을 느끼기에 좋다고 생각합니다. 																									
122,8,스토리 설명이 좀 부족한긴한데 영상미나 연기적인 부분은 좋게 평가할만 한데 평점테러 엄청 당한듯.. 																									
123,10,"초등학생인 아들,딸과 보기 좋았습니다. 																									"
124,10,생크림 케이크보다 더 깨끗하게 살자. 																									
125,5,액션은 볼만했는데 어린 여자애가 저런 고난도 레이싱을 한다는게 너무 비현실적이네요. 여자들 강동원 얼굴보러 오는 영화인듯 ㅋㅋㅋ 																									
126,9,다들 말하듯 스토리는 부산행 보다 탄탄하진 않다고 생각함 근데 그만큼 액션씬이나 배우들의 연기가 너무 훌륭했음 보는 내내 긴장됐고 당연히 좀비가 악역일줄 알았지만 결국 세상에서 가장 악한 존재는 사람이라는걸 잘 표현했음 액션씬때문에 한번 더 보고 싶어..ㅠ 																									
127,10,1일 1 엄복동 꼭보세용~!! 																									
128,1,이런 쓰레기 영화... 																									
129,10,영화를 보지도 않고 평점 테러하는 행위를 멈춰주세요. 적어도 영화를 보고 판단을 해야죠. 왜 이렇게 시간이 지나도 변하지를 않죠? 영화는 자극적이지 않게 흘러가고 아주 많은 생각을 하게 하는 영화입니다. 																									
130,10,"진짜 궁굼해서 물어보는데, 평점 테러 왜 해요...? 가해자 본인이신가 																									"
131,10,
132,10,"아,진짜 별 10점도 모자란다진짜 꼭 보세요~~~1편~5편까지 																									"
133,1,"올레티비로 결제해서 봤는데 전작을 안봐서인지 내용을 이해할수없었음. 나는 웬만한 한국, 외국 영화를 보다보면 결말이나 다음장면이 예측가능한 이해력을 가졌지만 이해할수없었다. 이영화는 지루하고 불친절한 노잼영화임 																									"
134,10,"“인생은 사죄하고 벌을 받아도 쉽게 끝나지 않아”“옷을 잘 입는다구요? 이 정도 입고 다니면 제가 안전해 보입니까?”옷차림은 취향을 드러내기도 하지만 계급이 드러나는 것이기도 하다. 보호장구로서의 옷차림. 그럼에도 안전을 보장받지 못하는 여성의 삶. 힘빠진 목소리와 말투, 구부정한 몸의 클리셰가 없는 이 시대 여성 노인의 삶과 시선. 감독과 배우의 섬세한 연출과 연기, 메시지도 좋았다. 																									"
135,10,아이들이랑 생각없이 보러갔다가 눈물흘리고왔어요.. 왠만한 어른들영화보다 명작입니다감동 재미 스토리가 아주 명작스럽네요^^아이들 정서에도 좋은짱구^^ 																									
136,10,
137,10,
138,10,
139,1,북한 미화화 오짐. 노답이다 진짜..조만간 김정일도 미화할듯. 																									
140,10,엄청난액션간만에 눈을안떼구본영화 																									
141,10,빨리 2탄 나왔으면 좋겠어요한국영화도 이런 엑소시즘이 완벽하게 나온건 첨인거 같아요배우분들 연기도 너무너무 좋았구요정말 재밌게 봤습니다다음편 기대할게요 빠이팅?? 																									
142,10,진짜 너무 너무 재밌다ㅠㅠ 																									
143,1,"희대의 병맛 영화 진짜 본걸 진심으로 후회한다...차라리 뽀뽀뽀, 방귀대장 뿡뿡이가 더 잼있내요... 아 진짜 눈 썩는다 ... 아 나 눈깔 ~~!! 아 씨 바 알 내돈 돌려줘 진짜 짜증나 ...!!!아 개막장 ㅜ.ㅜ 																									"
144,10,
145,10,
146,10,
147,6,중반까진재밌었는데 뒤로갈수록이상해지더니 허무한?!결말.. 																									
148,10,
149,1,뭘 말하고 싶은지도 모르겠고 떡밥은 이빠이 던져놓고 회수는 안하고 끝내버리는 영화 내가 공인중개사 마틴이다 																									
150,2,이게 무슨 영화야..정말.. 																									
151,10,
152,10,
153,10,두분의 연기와 지루하지 않은 스토리가 너무 재밌었어요! 마스크 쓰고 고생하며 봐도 아깝지 않은 영화입니다 정말 																									
154,10,덜 떨어진 사회에 새로운 문제의식을 던지는 영화는 언제나 비판받기 마련. 응원합니다. 																									
155,9,나는 한번도 딴짓 안하고 완전 몰입해서 재밌게 봤는데 ㅋㅋㅋ특유의 한국 국뽕스타일이 좀 오그라드는게 있긴하지만 잠수함 전투씬은 상당히 좋았음 																									
156,10,몇번을 봐도 여운이 남는 영화... 결국은 사랑이였음에도 이루어 질 수 없어 더 애절한 영화... 																									
157,1,심하게  수준이 낮은영화네요 																									
158,4,전개가 없어서 답답한 느낌 이해하기 어렵네요 																									
159,10,
160,10,
161,10,봐야지봐야지 생각만하고 있다가 이번에 봤는데 너무 감명깊게 잘봤습니다 왜 인생영화라 불리는지 알 것 같네요 																									
162,10,진짜 마동석 영화중에제일 좋아하는 작품...진짜 카리스마 오진다...ㅋㅋ헐리우드 갔다고요즘 마동석 영화가 안나와서슬퍼요~ㅋ 																									
163,10,
164,10,한국인이라면 정말 눈물 없이 볼 수 없는 영화라고 생각합니다 정말 최고입니다 																									
165,10,
166,10,재미 요소랑 스토리 전개 등이 적절히 섞여서 보는데 너무 재밌고 시간가는줄 몰랐다또 보라하면 또 볼것같슴다 																									
167,10,이게 왜 흥행을 안 했지.. 																									
168,10,"그동안 애써 긍정적으로, 소소한 행복을 챙기며, 예민하게 굴지 말자고 세뇌되던 현실은 사실 끔찍하다. 영화를 보고 나와 기어코 마주한 현실에 대한 충격은 감상평을 적으려하는 지금 이 순간 그 또한 단면만을 보여준 것이라는 생각이 들게 만든다. 높은 격차를 보이는 남녀의 평점, 이게 그냥 편가르기로 보인다면 당신은 평생 편안하게 살아온 거라는 것을 인정해야 한다. 																									"
169,10,"적극 강력""""""추천합니다,,, 																									"
170,10,기교 없이 담담히 써내려간 스토리가 너무도 가슴저리다 																									
171,6,마지막에 같이 경례함..  감동 																									
172,10,최고의 영화 인거 같아요 																									
173,10,너무 재밌다. 프랑스 영화라고 생각하면 기대가 낮으면서 계속 보게되는 영화다. 대박 추천.피아노재즈음악도 너무 좋다. 강아지가 안귀여워서 현실적이고 프랑스 가족들도 찐따가 많구나 																									
174,10,
175,4,"1점 많은 거 보고 평점 조절하려고10점 주고 10점 많은 거 보고 평점조절하려고 1점 주고 무한반복 악순환 무슨 1, 10 밖에 없냐 개병X 같다 진짜 																									"
176,10,별점 테러 그만해주세요 ㅜ 																									
177,10,스토리 자체는 특출난것 없는 가족애 드라마인데 감정 쥐어짜는게 엄청 강했음 																									
178,10,다시 보고 싶은 영화. 연기가 너무 좋아요. 																									
179,10,참 많은걸 담은 영화. 불과 60년 전 한국을 보는 것도 낯설면서 안타까움이 가득.. 																									
180,10,성범죄 피해자의 절대다수가 여성임에도 불구하고 여성이 피해를 호소하면 거짓말일 수 있다며 입막음하고 남성이 피해입었다며 거짓말한거엔 큰일이라며 호들갑떨고 혹시 사실일 수 있는 가능성이 쪼끔이라도 있다며 옹호하고. 이 영화는 별점테러가 완성시켰네요. 																									
181,10,뭐에 찔려서 별테를 합니까 																									
182,10,연출이 너무 좋네요.. 																									
183,10,벌벌 떨면서 들어오는 그 성별들 싹 다 나가라 영화 좋았는데 왜 이럼 ㅉㅉ배우님 감독님 이런 좋은 영화 만들어 주셔서 감사합니다. 늘 성공하세요!! 																									
184,10,
185,10,
186,10,예수정 배우님 역시 믿고보는 배우!! 																									
187,10,
188,10,티비판을 그대로 2시간 짜리로 압축한 느낌도 들었지만 재밌게 잘 봤습니다. 																									
189,10,댓글이 이 영화 봐야하는 이유를 알려주는 듯 																									
190,5,그냥뭐... 그동안 볼꺼 없었는데 간만에 볼게 생긴느낌? 그 이상 그 이하도 아님 																									
191,3,"무섭다고 벌벌떨엇다는둥~ 뭐햇다는둥 하는 글 죄다 알바...그날 8시영화봣었는데 인시디어스1,컨저링 처럼 분위기로 주는 공포감은 하나도없다. 오히려 쓸데없는 깝둑튀로 시끄럽게만하는 요소가 너무 많음. 컨저링하고 인시디어스는 노래,분위기,배경 스토리 등이 어우러져 귀신 나오는 상황이 배로 무서웠는데 이거는 그냥 캅툭튀넣어놓고 '야 이래도 안놀라? 어? 이래도?' 이런느낌이었음. 한마디로 공포감도 스토리도 똥망! 																									"
192,8,보고나면 마티니 마시고 싶어짐ㅋㅋ지루하지 않게 여기저기로 통통 튀는 영화. 배우진들 다 너무 매력적. 																									
193,8,행복을찾아서 																									
194,10,
195,6,아 벨라 완전 희대에 쓰레기 																									
196,10,팬들을 위한 최고의 영화 																									
197,8,
198,10,출연자들이 풀어가는 스토리와 스크린엑스의 현장감으로 몰입감이 더해집니다. 																									
199,10,
200,10,코로나만 아니었음 천만 찍었을 액션쾌감..! 																									
201,10,기대없이. 봤다가 의외로 괜찮았던 영화 																									
202,10,본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거본거본거본거또본거 																									
203,1,와...무슨...좀비애니매이션도 같이 보는줄...반정도 보다가 졸았음...와 진짜 좀 심했다싶었다;; 																									
204,2,영화 내용 재미 감동 등등 부산행 대비 반도 안됨.그래서 제목을 반도로 지은듯. 																									
205,10,너무 재밌어요 추천드려요 																									
206,10,10점을 줄 수밖에 없다 얼른 순위 올라가면 좋겠다 																									
207,10,
208,6,뭔 내용인지 대충 알것같기도 하고 모를것 같기도 한데 굳이 다시 보지는 않을 것 같음.  뭔가 엄청난 얘기를 하고 싶은 것 같은 분위기지만 정확히 뭘 말하고 싶은 건지는 잘 모르겠음.. 좋았던 점은 영상과 음악이 찰떡같이 잘 어울렸다는 것 정도? 																									
209,10,시공을 초월하는 놀란 																									
210,10,
211,10,
212,10,50억을 썻으면 이정도 퀄리티는 나와야지.. 물론 이영화가 들인돈에비해 압도적인 퀄리티가 있지만 저는 정말 만족하고 감동이었습니다 아직도 여운이 남아서 손이다 떨리네요. 근데 아직 안봤습니다. 																									
213,10,
214,10,
215,10,돈 안드는짓은제일 열심히하는그남들대체 왜일까? 이런얘기를보면 찔리나? 																									
216,5,비밀의 숲 시즌2 보러 가야겠다 																									
217,10,보지도 않고 그저 여성인권이란 단어만 관련되면 눈에 불을 켜고 달려들어서 댓글과 별점으로 테러 남기는 꼴이 참 우스우면서 이 영화가 말하고 싶은 현실을 그대로 보여주는듯.... 실화영화에 거품물고 페미들의 상상이라며 짖어대는 꼴이 참 우습다... 이 영화가 현실반영을 잘 하고있단걸 상상이라 비방하면서 테러하는 '그 들'이 보여주고 있는 아이러니... 																									
218,10,슬픈영화다. 너는 화가 나? 																									
219,10,
220,10,
221,10,"아트나인에서 봤어요. 예수정님의 꼿꼿함과 품위가 자기를 지키려는 주인공 인물과 오버랩되어 감화를 주었습니다. 저렇게 살아야지 싶었어요. 마지막까지 남자에게 기대려 하지 않고 자기 일하며 자기 삶을 지키려 하는, 옷을 잘 입고 깔끔하게 다니면서 자기를 지키는. 연출포인트를 추천한 건 자극적인 성폭행 장면을 전혀 보여주지 않았기 때문이죠. 그런면이 품위있었어요 																									"
222,10,오랜만에 좋은 주제로 좋은 영화...좋았어요.. 																									
223,10,간만에 좋은 영화.. 추천합니다 																									
224,10,유튜버 윽박 구독 하세요 																									
225,8,“제 얘기가 여러 사람을 불쾌하게 할 수도 있습니다. 그럼에도 용기를 내 보는 건 아직 살아있기 때문인 것 같습니다” “봄볕에 눈물도 찬란하게 빛난다는 어느 시인의 말처럼 이제 전 어려운 고백을 시작으로 한 걸음 한 걸음 햇빛으로 나아가 보려 합니다”  용기있는 한 사람의 외침. 																									
226,10,
227,10,별점테러 왜 하는 거임 찌질하게 																									
228,10,
229,10,
230,10,진짜진짜 재밌게 봤어요 줄거리가 흥미로웠지만 평점때문에 큰 기대를 안했는데 권상우표 코믹연기 최고! 솔직히 초반에 딸래미 랩하는거 보고 항마력 딸려서 닭살도 돋았는데 배우들이 연기를 잘해서 금방 몰입해서 봤어요 중간중간 나오는 애니메이션도 고퀄ㅇㅈ 연출도 좋고 ost 덕분에 더 즐겁게 봤어요(발라버려~) 감상평 남겨본적 없는데 평점이 너무 짠것같아서 씁니다 요즘 무거운 주제가 많은데 덕분에 많이 웃었어요 간만에 기분 좋아지는 영화 감사합니다 ㅎㅎ 																									
231,10,
232,10,동일룡과  똑 닮은  연기가  아주  자연스럽게  잘  나타났습니다   헨리   연기력   최고입니다 																									
233,10,아빠랑 둘이서 보면서 눈물 많이 흘렸어요 오랜만에 돈 하나도 아깝지않은 영화였습니다 																									
